part_id,Item,category,stock_qty,warehouse,Lead Time,Price,Stock Status
P-1000,Oil Seal Model 328,Seals,12,Delhi,1,33996.62,limited
P-1001,Rubber Seal Model 195,Seals,33,Delhi,3,25515.09,available
P-1002,Rubber Seal Model 818,Seals,113,Hyderabad,3,22735.85,available
P-1003,Ball Valve Model 814,Valves,10,Hyderabad,5,14254.63,limited
P-1004,Pump Gasket Model 199,Gaskets,78,Bangalore,5,30384.44,available
P-1005,Rubber Seal Model 487,Seals,45,Mumbai,10,15012.32,available
P-1006,Check Valve Model 146,Valves,38,Delhi,5,49268.47,available
P-1007,Engine Gasket Model 750,Gaskets,88,Bangalore,3,18823.96,available
P-1008,Pump Gasket Model 173,Gaskets,25,Delhi,10,36591.78,limited
P-1009,Pump Gasket Model 804,Gaskets,111,Delhi,5,42221.17,available
P-1010,Oil Seal Model 510,Seals,15,Bangalore,1,10943.65,limited
P-1011,Ball Valve Model 758,Valves,80,Hyderabad,3,13611.57,available
P-1012,Pump Gasket Model 697,Gaskets,18,Hyderabad,5,11356.38,limited
P-1013,Pump Gasket Model 981,Gaskets,36,Mumbai,3,31558.58,available
P-1014,Water Pump Model 579,Pumps,106,Bangalore,10,43108.6,available
P-1015,Rubber Seal Model 868,Seals,22,Bangalore,5,6021.83,limited
P-1016,Water Pump Model 612,Pumps,63,Delhi,10,45675.08,available
P-1017,Check Valve Model 256,Valves,55,Bangalore,3,27199.26,available
P-1018,Rubber Seal Model 214,Seals,32,Bangalore,5,12352.89,available
P-1019,Engine Gasket Model 935,Gaskets,92,Mumbai,10,38408.8,available
P-1020,Pump Gasket Model 269,Gaskets,0,Bangalore,10,43685.44,out_of_stock
P-1021,Water Pump Model 873,Pumps,0,Delhi,5,20250.12,out_of_stock
P-1022,Gate Valve Model 223,Valves,19,Delhi,3,3669.28,limited
P-1023,Rubber Seal Model 325,Seals,105,Mumbai,1,35538.13,available
P-1024,Oil Seal Model 980,Seals,34,Bangalore,1,25950.73,available
P-1025,Check Valve Model 235,Valves,99,Hyderabad,3,39338.66,available
P-1026,Water Pump Model 541,Pumps,114,Bangalore,7,20849.56,available
P-1027,Rubber Seal Model 200,Seals,112,Mumbai,7,36546.57,available
P-1028,Oil Seal Model 559,Seals,98,Delhi,7,9582.66,available
P-1029,Water Pump Model 553,Pumps,7,Mumbai,1,32781.17,limited
P-1030,Oil Seal Model 969,Seals,0,Delhi,3,20617.5,out_of_stock
P-1031,Water Pump Model 268,Pumps,6,Hyderabad,1,49272.79,limited
P-1032,Gate Valve Model 848,Valves,119,Hyderabad,3,9899.94,available
P-1033,Engine Gasket Model 162,Gaskets,99,Bangalore,1,2982.05,available
P-1034,Water Pump Model 182,Pumps,95,Delhi,1,29954.24,available
P-1035,Pump Gasket Model 352,Gaskets,102,Mumbai,10,4558.18,available
P-1036,Gate Valve Model 344,Valves,70,Bangalore,7,6978.47,available
P-1037,Gate Valve Model 109,Valves,39,Hyderabad,10,49923.49,available
P-1038,Oil Seal Model 371,Seals,94,Delhi,5,44102.78,available
P-1039,Pump Gasket Model 953,Gaskets,86,Bangalore,10,49200.74,available
P-1040,Rubber Seal Model 779,Seals,14,Mumbai,3,13591.06,limited
P-1041,Rubber Seal Model 388,Seals,64,Delhi,5,10578.07,available
P-1042,Check Valve Model 194,Valves,36,Hyderabad,5,2682.29,available
P-1043,Ball Valve Model 265,Valves,63,Hyderabad,10,35430.54,available
P-1044,Oil Seal Model 252,Seals,118,Mumbai,5,29334.22,available
P-1045,Pump Gasket Model 473,Gaskets,69,Mumbai,5,10898.79,available
P-1046,Engine Gasket Model 995,Gaskets,101,Hyderabad,10,37599.14,available
P-1047,Engine Gasket Model 930,Gaskets,0,Delhi,7,1726.92,out_of_stock
P-1048,Gate Valve Model 373,Valves,12,Delhi,1,19435.82,limited
P-1049,Pipe Seal Model 458,Seals,88,Bangalore,3,11534.72,available
P-1050,Pump Gasket Model 891,Gaskets,38,Bangalore,5,32253.35,available
P-1051,Hydraulic Pump Model 218,Pumps,0,Bangalore,3,29239.19,out_of_stock
P-1052,Ball Valve Model 453,Valves,85,Bangalore,7,30507.34,available
P-1053,Pipe Seal Model 360,Seals,11,Mumbai,7,583.72,limited
P-1054,Pump Gasket Model 438,Gaskets,115,Bangalore,1,36127.84,available
P-1055,Check Valve Model 434,Valves,82,Hyderabad,5,27943.42,available
P-1056,Pump Gasket Model 793,Gaskets,78,Delhi,10,28670.71,available
P-1057,Water Pump Model 540,Pumps,56,Bangalore,7,22368.41,available
P-1058,Pump Gasket Model 774,Gaskets,10,Mumbai,5,26014.87,limited
P-1059,Ball Valve Model 788,Valves,12,Bangalore,3,40424.86,limited
P-1060,Engine Gasket Model 725,Gaskets,90,Mumbai,7,21014.83,available
P-1061,Pump Gasket Model 251,Gaskets,61,Mumbai,1,39031.81,available
P-1062,Engine Gasket Model 575,Gaskets,21,Mumbai,10,12835.31,limited
P-1063,Pipe Seal Model 783,Seals,89,Bangalore,7,30826.29,available
P-1064,Hydraulic Pump Model 560,Pumps,20,Bangalore,3,42073.21,limited
P-1065,Check Valve Model 381,Valves,60,Hyderabad,1,35820.47,available
P-1066,Pump Gasket Model 182,Gaskets,99,Delhi,3,11947.44,available
P-1067,Engine Gasket Model 438,Gaskets,82,Hyderabad,7,3582.15,available
P-1068,Hydraulic Pump Model 698,Pumps,0,Mumbai,10,19328.86,out_of_stock
P-1069,Pipe Seal Model 973,Seals,79,Hyderabad,10,37502.03,available
P-1070,Pump Gasket Model 597,Gaskets,85,Mumbai,7,17138.41,available
P-1071,Water Pump Model 737,Pumps,9,Mumbai,7,29798.69,limited
P-1072,Oil Seal Model 987,Seals,47,Hyderabad,3,2989.09,available
P-1073,Hydraulic Pump Model 445,Pumps,71,Hyderabad,5,37724.49,available
P-1074,Hydraulic Pump Model 119,Pumps,20,Mumbai,5,11599.0,limited
P-1075,Rubber Seal Model 353,Seals,33,Delhi,1,31256.12,available
P-1076,Engine Gasket Model 677,Gaskets,44,Delhi,7,35123.52,available
P-1077,Ball Valve Model 896,Valves,44,Delhi,5,5850.89,available
P-1078,Pipe Seal Model 506,Seals,78,Delhi,1,29808.84,available
P-1079,Engine Gasket Model 970,Gaskets,68,Mumbai,10,39240.45,available
P-1080,Check Valve Model 170,Valves,77,Bangalore,1,42553.99,available
P-1081,Water Pump Model 750,Pumps,76,Hyderabad,3,22056.61,available
P-1082,Check Valve Model 893,Valves,22,Hyderabad,7,22060.94,limited
P-1083,Gate Valve Model 385,Valves,7,Hyderabad,3,37648.58,limited
P-1084,Hydraulic Pump Model 286,Pumps,71,Hyderabad,3,18063.84,available
P-1085,Gate Valve Model 818,Valves,106,Bangalore,10,1002.48,available
P-1086,Engine Gasket Model 600,Gaskets,82,Delhi,7,32472.19,available
P-1087,Hydraulic Pump Model 401,Pumps,7,Delhi,7,34743.46,limited
P-1088,Check Valve Model 666,Valves,90,Bangalore,7,49833.26,available
P-1089,Gate Valve Model 413,Valves,13,Bangalore,3,6472.47,limited
P-1090,Pump Gasket Model 880,Gaskets,98,Delhi,3,11211.04,available
P-1091,Hydraulic Pump Model 711,Pumps,21,Bangalore,1,41715.1,limited
P-1092,Ball Valve Model 114,Valves,68,Delhi,5,2753.03,available
P-1093,Rubber Seal Model 753,Seals,46,Hyderabad,1,43699.63,available
P-1094,Gate Valve Model 288,Valves,73,Mumbai,5,47082.65,available
P-1095,Water Pump Model 603,Pumps,17,Mumbai,10,31657.56,limited
P-1096,Oil Seal Model 411,Seals,102,Mumbai,3,6363.35,available
P-1097,Water Pump Model 561,Pumps,17,Hyderabad,5,43078.25,limited
P-1098,Hydraulic Pump Model 724,Pumps,37,Mumbai,3,31462.99,available
P-1099,Check Valve Model 277,Valves,60,Mumbai,3,632.45,available
P-1100,Hydraulic Pump Model 395,Pumps,59,Bangalore,7,4023.4,available
P-1101,Pump Gasket Model 703,Gaskets,25,Delhi,7,6181.43,limited
P-1102,Engine Gasket Model 946,Gaskets,0,Delhi,1,3452.08,out_of_stock
P-1103,Check Valve Model 395,Valves,23,Hyderabad,1,23700.55,limited
P-1104,Check Valve Model 612,Valves,64,Hyderabad,7,4481.87,available
P-1105,Pipe Seal Model 356,Seals,24,Mumbai,1,11831.76,limited
P-1106,Rubber Seal Model 141,Seals,23,Delhi,7,26188.71,limited
P-1107,Hydraulic Pump Model 546,Pumps,104,Hyderabad,1,23765.51,available
P-1108,Hydraulic Pump Model 978,Pumps,43,Delhi,5,20876.43,available
P-1109,Hydraulic Pump Model 933,Pumps,81,Mumbai,7,4858.96,available
P-1110,Gate Valve Model 985,Valves,81,Mumbai,10,23367.83,available
P-1111,Oil Seal Model 874,Seals,109,Hyderabad,7,38119.53,available
P-1112,Pump Gasket Model 548,Gaskets,66,Hyderabad,1,1929.04,available
P-1113,Engine Gasket Model 665,Gaskets,31,Hyderabad,1,11622.68,available
P-1114,Pipe Seal Model 763,Seals,0,Delhi,7,46666.33,out_of_stock
P-1115,Check Valve Model 954,Valves,18,Hyderabad,7,12564.68,limited
P-1116,Pump Gasket Model 620,Gaskets,106,Delhi,1,14174.25,available
P-1117,Hydraulic Pump Model 619,Pumps,0,Bangalore,1,14500.53,out_of_stock
P-1118,Check Valve Model 601,Valves,114,Delhi,7,27159.74,available
P-1119,Gate Valve Model 486,Valves,99,Hyderabad,5,43545.28,available
P-1120,Pump Gasket Model 144,Gaskets,82,Bangalore,7,35408.78,available
P-1121,Hydraulic Pump Model 911,Pumps,0,Delhi,7,48258.81,out_of_stock
P-1122,Pump Gasket Model 202,Gaskets,19,Hyderabad,1,36260.97,limited
P-1123,Water Pump Model 446,Pumps,63,Hyderabad,1,42662.38,available
P-1124,Hydraulic Pump Model 993,Pumps,92,Mumbai,10,3886.83,available
P-1125,Ball Valve Model 200,Valves,18,Mumbai,7,8735.06,limited
P-1126,Ball Valve Model 400,Valves,37,Bangalore,5,21819.0,available
P-1127,Pump Gasket Model 274,Gaskets,53,Delhi,1,30669.84,available
P-1128,Water Pump Model 246,Pumps,104,Delhi,7,32076.28,available
P-1129,Hydraulic Pump Model 394,Pumps,89,Delhi,1,22365.62,available
P-1130,Check Valve Model 806,Valves,84,Bangalore,7,42342.54,available
P-1131,Pump Gasket Model 342,Gaskets,8,Hyderabad,10,18268.48,limited
P-1132,Check Valve Model 505,Valves,114,Bangalore,1,28513.49,available
P-1133,Rubber Seal Model 894,Seals,14,Delhi,10,40195.63,limited
P-1134,Engine Gasket Model 873,Gaskets,116,Delhi,1,45218.48,available
